,month_year_day,scammer,total_value_to_binance_sum
37,2023-11-02,0x0d3eea6297a6ec7d0ca0aea8d9007dec5634aaa7,0.6
38,2023-11-18,0x9b965255e809bbc0fc5fa957cd7859530bda3f06,59.34569902
39,2023-11-10,0xbde36d80ac3ea1112da7b74db970e9f465bdb332,0.25068365
40,2023-11-06,0x843e737471d16bcaa134f2d4a929b4ffe013b2af,1.2314584426211714
41,2023-11-23,0x7517ef878cf234f18835ee9d566d03290cfd03a1,0.243
42,2023-11-29,0x71d07f5a495848005358ba26dd8127b3707318b1,140.77896138
43,2023-11-26,0x6ea69a13d8be3743f4223212ff0b6e9749afa4aa,0.38454
44,2023-11-16,0xb234ffb0dbecec1a8a8e28bc41764048f15fa339,0.0263697219401568
45,2023-11-16,0xe795d3de925c970cbef7c691f9c39505202afaca,0.19211
46,2023-11-15,0x81fbd7a1f4ad93853b73437f909b54dd9e68f62d,5.0
47,2023-11-29,0x0abbc482fbd91dbf413e3d6cc5622e03552ac13a,1.34099276
48,2023-11-21,0x2fe4516fb4765f98ca46c9df28117c778e360ee0,48.82349299999999
49,2023-11-20,0xc9248467c4f761107e989ca54b5f75d380c597d9,0.018880359842
50,2023-11-16,0x9a2314b0baab4daa7376011c1b3eef403e9b4ffb,0.92
51,2023-11-12,0x0ad4bbbbc0bf4778ff4c18e43e49708805443d9d,10.66997235247067
52,2023-11-01,0x8ed219d9f8bcc1b509a7c160f8ae743763dca407,0.0046727165273873
53,2023-11-13,0x219787e365da749f4c322af5f9c057df94cd2dca,1.6272592638093748
54,2023-11-14,0xb7d0e84b85df0ca4811f0564e8d83f51011666a8,0.049217850918335
55,2023-11-11,0xa4a4d6e1fbf73c120f029a55d42b205360548a16,0.0849999999999999
56,2023-11-11,0x31b04cdc737a361fb1923ce68c58a64ec63197f2,0.00722112
57,2023-11-02,0xdb583bb06a4355521f522d7e95857760e0ac273f,63.03577413000001
58,2023-11-28,0x1bdc857257f65239ddbd078c05809055f7ffe941,0.1276233192270282
59,2023-11-21,0x0899d57e77d6d0eca2d31cb9840abd0228fe0387,1.36
60,2023-11-20,0x2aede79d046b1a7975fb830af0a820526dc894e2,0.015
61,2023-11-15,0x2bcce259cea9ffe4153eda976a4423b68acbce90,8.8
62,2023-11-08,0xccefefea3e0ec41fc13c409ea0e9de5b7b6e7daf,8.0
63,2023-11-27,0x2a5bac6615c1516c89e3b657a19c8620d815674a,0.1
64,2023-11-09,0x6f4eef86f9a095387f3c29950a2994836c8c318e,1.0239793480999315
65,2023-11-01,0x876c85f2934da68b5bfd0dfd4cd4b2c9c6ad5a91,0.695436754613187
66,2023-11-01,0xb8356a14e2610315f4d6604c71738c7f2ef7aa2a,50.13506699
67,2023-11-12,0x841a63d6b17927de583404bcdc5281b99a0b801d,0.4898914094000001
68,2023-11-05,0xb1e66855fd67f6e85f0f0fa38cd6fbabdf00923c,53.10998344899999
69,2023-11-10,0x7786182e32f75fd78389852a6307b22f7648c148,0.1500120197615507
70,2023-11-05,0x20e44d77c9e830c68fc6872ac8b641948b70d0f3,3.2630193172389648
71,2023-11-24,0x385299b8fee89f4ea1130a7fbff6d539e44efc15,0.0119752352862848
72,2023-11-25,0x2fe4516fb4765f98ca46c9df28117c778e360ee0,2.52129585
73,2023-11-28,0x0e0d510a67a1c1a16e78aca969281ddb10f6e579,1.4977
74,2023-11-16,0x1b49ec2ff08f87a8108db86e32e26dd465db2db3,5.0
75,2023-11-28,0x5bc13c3971e00540d79fdd5146e150994e14ada5,0.499306769294882
76,2023-11-22,0x17321448295e56fac0d00c4464ee3938f715818d,0.0516771070855364
77,2023-11-13,0xb653f47b714227e7780f308fdde933194f45710d,112.26648053
78,2023-11-18,0xe9ef47a66d693bbd335091dfae30ec7f8015e3a7,0.153
79,2023-11-05,0x2bcce259cea9ffe4153eda976a4423b68acbce90,4.0
80,2023-11-08,0xb1e66855fd67f6e85f0f0fa38cd6fbabdf00923c,0.7332242528
81,2023-11-17,0x60328df7fcb5b80708174cf614cbbe82968b7a98,0.012
82,2023-11-07,0x0c716b5ea22619046f867404f15685b5bfad795e,0.625
83,2023-11-24,0x3658d6a78a4d6ca507a038d3c533cf766e896048,0.041
84,2023-11-04,0xa4c0126d4707dceb9c2256d4731a16748a34cf4c,4.5
85,2023-11-12,0xd4e36f4e9f4a7727770126e8da866c01117d3d9f,2.093700480291877
86,2023-11-03,0x4571808a39fd3e7d03fcde186cb025ef0f5583c4,0.1
87,2023-11-19,0x89bfd74a0a200bdb5010f7b57db71b684e939cae,2.420522433
88,2023-11-08,0x38fa9ed7bccb6a40964aa06afd060feb5991476b,5.033555511
89,2023-11-25,0x0c716b5ea22619046f867404f15685b5bfad795e,1.2617944059170887
90,2023-11-03,0xd731e692270312d35ef79dbb28395f93bf194c99,0.06
91,2023-11-24,0x7becbc5e390994394412daf50164b1a22b90af3b,0.0223350201081759
92,2023-11-26,0x72e600b7cb6ecd3347fccf9fb1b20fccafbf8bae,0.12312
93,2023-11-12,0x256c039d3aa2482a0985172025ec93dfec99898f,1.608
94,2023-11-27,0x5bc13c3971e00540d79fdd5146e150994e14ada5,0.398656
95,2023-11-14,0x8b83d7b1d1165aab96fc2ec90aaa97bcc3a8535f,0.08
96,2023-11-19,0x896d293c2d5d1d331c16dd21d5b5ba2446933419,0.475
97,2023-11-29,0x3356ecb8de4ed9684e61366dacab3e111c38f62e,0.0291720959178513
98,2023-11-05,0x43f4a3c3c304177f54583cba9be021bda72ec226,0.5
99,2023-11-05,0x7654dd7a8696f71451ba67946ed7351be0656c0b,0.0426496134292299
100,2023-11-25,0x5bc13c3971e00540d79fdd5146e150994e14ada5,0.699433
101,2023-11-21,0xb234ffb0dbecec1a8a8e28bc41764048f15fa339,0.0497495190776843
102,2023-11-19,0x2fe332dfcca62432869d903d9507c370f5d4971b,0.0253549695740365
103,2023-11-09,0x520ae09853dbca246236612f666ad417aa6bbe31,0.1309810359127473
104,2023-11-28,0xd6647eeec0c8d810c546f2ab8e025d4664d833ac,0.0728540829856574
105,2023-11-21,0x4d103648cb1ca7f0b053e388f7ff275a5b4c020b,4.005618372504321
106,2023-11-05,0x0b759a5357a4915d2b4ddaf890225650e5796ccf,1.04
107,2023-11-07,0x1bdc857257f65239ddbd078c05809055f7ffe941,0.0214340310074647
108,2023-11-16,0x0cc45db0384edddcfc19e5c6890a4b7c47b79700,0.0156649272070413
109,2023-11-09,0x71cdc86e6b4a08fda973a296c4f0716c244dd7de,0.0197780033480003
110,2023-11-23,0x8badd8b59ddaf9a12c4910ca1b2e8ea750a71594,0.00484721
111,2023-11-04,0x7ebdd2d9dc373370708d49507deed97bac9e0468,1.065977713178636
